iter	Logloss
0	0.6327099318
1	0.5749786034
2	0.538304704
3	0.5073000019
4	0.4891368995
5	0.4682351016
6	0.4523052258
7	0.4289333043
8	0.4183729365
9	0.4070697742
10	0.4005953328
11	0.3954268895
12	0.3913822817
13	0.3815082164
14	0.3768037946
15	0.3697683784
16	0.3666766735
17	0.3638393102
18	0.3601255524
19	0.3544093143
20	0.350613069
21	0.3452357603
22	0.3411118154
23	0.3366624425
24	0.3340038342
25	0.3303263375
26	0.329538281
27	0.3262563555
28	0.323279863
29	0.318668837
30	0.3160944735
31	0.3139659153
32	0.3100472997
33	0.3086385405
34	0.3055615586
35	0.3054778924
36	0.3034734833
37	0.3021675496
38	0.2988625216
39	0.2962883081
40	0.2939311681
41	0.2913554117
42	0.2890334826
43	0.2862488179
44	0.2836840555
45	0.2831851231
46	0.2815200291
47	0.2778325885
48	0.2737921811
49	0.2722303412
50	0.2696825949
51	0.2675153754
52	0.2660772774
53	0.2634365853
54	0.2627368884
55	0.2612463705
56	0.2592170801
57	0.2567116384
58	0.2553662289
59	0.2527751494
60	0.2510401265
61	0.2492593915
62	0.247637438
63	0.2461212887
64	0.2451689859
65	0.2436774393
66	0.2425734488
67	0.2406008002
68	0.239172239
69	0.2375831604
70	0.2362782125
71	0.2350867196
72	0.233555783
73	0.2307661678
74	0.2297541372
75	0.2282245507
76	0.2258194484
77	0.2244405425
78	0.2231693911
79	0.2222697869
80	0.2212195021
81	0.2193440641
82	0.2176883569
83	0.2167031363
84	0.213960219
85	0.2118983322
86	0.2107947703
87	0.2094906796
88	0.2073062511
89	0.2050901692
90	0.2042736311
91	0.2037699839
92	0.2030823097
93	0.2027980504
94	0.2023193488
95	0.2012951883
96	0.2005636451
97	0.1981358475
98	0.1956122323
99	0.1927233064
