iter	Passed	Remaining
0	222	22069
1	226	11085
2	232	7517
3	235	5652
4	238	4528
5	241	3782
6	245	3256
7	247	2850
8	253	2561
9	256	2308
10	259	2096
11	261	1920
12	265	1776
13	268	1650
14	271	1540
15	275	1445
16	279	1365
17	282	1287
18	287	1223
19	291	1166
20	295	1111
21	300	1064
22	303	1014
23	305	968
24	309	929
25	312	890
26	315	853
27	318	819
28	321	788
29	324	758
30	327	729
31	330	702
32	333	677
33	336	652
34	338	629
35	340	605
36	344	586
37	346	565
38	349	547
39	352	528
40	355	511
41	357	494
42	360	477
43	363	462
44	365	447
45	368	432
46	371	418
47	373	404
48	376	391
49	378	378
50	382	367
51	385	355
52	387	343
53	390	332
54	393	321
55	396	311
56	398	300
57	401	290
58	404	280
59	407	271
60	410	262
61	412	252
62	415	244
63	418	235
64	421	226
65	424	218
66	426	210
67	429	202
68	431	194
69	434	186
70	437	178
71	440	171
72	442	163
73	445	156
74	447	149
75	450	142
76	453	135
77	455	128
78	457	121
79	460	115
80	463	108
81	465	102
82	468	95
83	470	89
84	473	83
85	475	77
86	478	71
87	481	65
88	483	59
89	485	53
90	488	48
91	490	42
92	493	37
93	495	31
94	498	26
95	500	20
96	503	15
97	506	10
98	509	5
99	511	0
